title,description,labels,milestone,due_date
Configure Nx monorepo and shared libraries,"Set up Nx monorepo with `libs/database` (TypeORM, Mongoose, ioredis, TimescaleDB, Elasticsearch) and `libs/kafka` (producer/consumer for `points.earned`, `referral.completed`). See Phase 1 roadmap.","phase-1,infrastructure,priority-high,type-feature",Phase 1,2025-07-30
Set up docker-compose.yml for all services,"Create `docker-compose.yml` with PostgreSQL, MongoDB, Redis, TimescaleDB, Elasticsearch, Kafka, Zookeeper. Ensure ports (e.g., 5432 for Auth, 27017 for Points). See Phase 1 roadmap.","phase-1,infrastructure,priority-high,type-deployment",Phase 1,2025-07-30
Implement Auth database schema,"Set up PostgreSQL (port 5432) with `merchants`, `admin_users`, `admin_sessions`, `impersonation_sessions`. Use pgcrypto for `admin_users.email`. See Auth service plan.","phase-1,service-auth,priority-high,type-feature",Phase 1,2025-08-02
Develop Auth gRPC endpoints,Implement `/auth.v1/ValidateToken` and `/auth.v1/ValidateMerchant` (gRPC). Produce `merchant.created` Kafka event. See Auth service plan.,"phase-1,service-auth,priority-high,type-feature",Phase 1,2025-08-04
Test Auth service with Jest,Write Jest tests for `AuthRepository` (`findByShopDomain`). Ensure 80% coverage. See Auth service plan.,"phase-1,service-auth,priority-high,type-test",Phase 1,2025-08-05
Implement API Gateway Redis setup,Set up Redis (port 6380) for rate limiting (`rate_limit:{merchant_id}:{endpoint}`). See API Gateway service plan.,"phase-1,service-api-gateway,priority-high,type-feature",Phase 1,2025-08-06
Develop API Gateway webhook routing,"Route Shopify `/webhooks/orders/create` to Points, Referrals. Call `/auth.v1/ValidateToken` (gRPC). Produce `webhook.received` Kafka event (optional). See API Gateway service plan.","phase-1,service-api-gateway,priority-high,type-feature",Phase 1,2025-08-08
Test API Gateway with Jest and k6,"Write Jest tests for `ApiGatewayRepository` (`trackRateLimit`). Run k6 load tests for 10,000 webhooks/hour. See API Gateway service plan.","phase-1,service-api-gateway,priority-high,type-test",Phase 1,2025-08-10
Implement Core database schema,"Set up PostgreSQL (port 5433) with `customers`, `program_settings`, `customer_import_logs`. Define `Customer.entity.ts` with encrypted `email` (pgcrypto). See Core service plan.","phase-2,service-core,priority-medium,type-feature",Phase 2,2025-08-12
Develop Core gRPC endpoints,"Implement `/core.v1/GetCustomerRFM`, `/core.v1/CreateCustomer` (gRPC). Produce `customer.created`, `customer.updated` Kafka events. Consume `rfm.updated`, `gdpr_request.created`. See Core service plan.","phase-2,service-core,priority-medium,type-feature",Phase 2,2025-08-14
Test Core service with Jest and Cypress,"Write Jest tests for `CoreRepository` (`findById`, `updateRFMScore`). Run Cypress tests for gRPC endpoints. Ensure GDPR compliance for `email`. See Core service plan.","phase-2,service-core,priority-medium,type-test,type-compliance",Phase 2,2025-08-15
